=====================Batch 1=============================
download:3.73 sec., process:28.177 sec., upload:0.334 sec. 
download:5.91 sec., process:25.89 sec., upload:0.271 sec. 
download:4.481 sec., process:25.842 sec., upload:0.31 sec. 
download:5.352 sec., process:25.707 sec., upload:0.446 sec. 
download:6.201 sec., process:25.691 sec., upload:0.51 sec. 
download:3.991 sec., process:28.308 sec., upload:0.496 sec. 
download:5.775 sec., process:25.81 sec., upload:0.399 sec. 
download:5.777 sec., process:26.176 sec., upload:0.337 sec. 
download:3.783 sec., process:28.564 sec., upload:0.696 sec. 
download:4.579 sec., process:25.999 sec., upload:0.658 sec. 
download:5.467 sec., process:26.847 sec., upload:0.54 sec. 
download:0.217 sec., process:25.589 sec., upload:0.594 sec. 
download:3.904 sec., process:30.44 sec., upload:0.2 sec. 
download:6.023 sec., process:28.565 sec., upload:0.078 sec. 
download:0.247 sec., process:24.452 sec., upload:0.085 sec. 
download:0.257 sec., process:23.506 sec., upload:0.192 sec. 
download:0.204 sec., process:22.953 sec., upload:0.09 sec. 
download:0.302 sec., process:15.102 sec., upload:0.082 sec. 
download:0.394 sec., process:15.208 sec., upload:0.079 sec. 
download:0.214 sec., process:20.739 sec., upload:0.095 sec. 
download:0.206 sec., process:20.613 sec., upload:0.094 sec. 
download:0.165 sec., process:14.414 sec., upload:0.095 sec. 
download:0.199 sec., process:21.102 sec., upload:0.113 sec. 
download:0.214 sec., process:14.308 sec., upload:0.129 sec. 
download:0.292 sec., process:14.207 sec., upload:0.113 sec. 
download:0.234 sec., process:19.718 sec., upload:0.085 sec. 
download:0.296 sec., process:14.193 sec., upload:0.081 sec. 
download:0.198 sec., process:19.481 sec., upload:0.102 sec. 
download:0.192 sec., process:20.228 sec., upload:0.075 sec. 
download:0.503 sec., process:18.315 sec., upload:0.091 sec. 
download:0.858 sec., process:18.338 sec., upload:0.09 sec. 
download:0.496 sec., process:18.718 sec., upload:0.071 sec. 
download:0.212 sec., process:18.994 sec., upload:0.158 sec. 
download:0.336 sec., process:18.096 sec., upload:0.169 sec. 
download:0.338 sec., process:18.212 sec., upload:0.161 sec. 
download:0.199 sec., process:18.934 sec., upload:0.154 sec. 
download:0.393 sec., process:17.964 sec., upload:0.093 sec. 
download:0.474 sec., process:18.049 sec., upload:0.105 sec. 
download:0.407 sec., process:17.909 sec., upload:0.081 sec. 
download:0.363 sec., process:17.809 sec., upload:0.081 sec. 
download:0.687 sec., process:17.767 sec., upload:0.074 sec. 
download:0.928 sec., process:17.593 sec., upload:0.138 sec. 
download:0.372 sec., process:17.367 sec., upload:0.155 sec. 
download:0.527 sec., process:17.675 sec., upload:0.125 sec. 
download:0.714 sec., process:17.6 sec., upload:0.103 sec. 
download:0.222 sec., process:17.321 sec., upload:0.086 sec. 
download:0.468 sec., process:20.148 sec., upload:0.092 sec.
